N = 100
alpha = 1.5
beta = 1000
selfLoops = False
30 0 0.61
30 1 1.01
30 2 1.51
60 0 0.66
60 1 0.71
60 2 1.56
20 0 0.66
20 1 0.71
20 2 1.51
40 0 0.81
40 1 0.76
40 2 1.51
0 0 0.76
0 1 0.76
0 2 1.66
10 0 0.76
10 1 0.76
10 2 1.61
50 0 0.81
50 1 0.81
50 2 1.71
61 0 0.81
61 1 0.81
61 2 1.56
41 0 0.81
41 1 1.11
41 2 1.61
1 0 0.76
1 1 1.11
1 2 1.61
31 0 0.76
31 1 0.76
31 2 1.56
51 0 0.81
51 1 1.11
51 2 1.56
11 0 0.76
11 1 0.81
11 2 1.51
21 0 0.81
21 1 0.76
21 2 1.56
62 0 0.76
62 1 0.81
62 2 1.51
2 0 0.61
2 1 1.01
2 2 1.56
22 0 0.66
22 1 0.71
22 2 1.46
42 0 0.81
42 1 1.11
42 2 1.51
32 0 0.81
32 1 0.76
32 2 1.51
52 0 0.81
52 1 0.76
52 2 1.46
12 0 0.76
12 1 1.11
12 2 1.61
63 0 0.66
63 1 0.71
63 2 1.56
43 0 0.81
43 1 0.81
43 2 1.56
3 0 0.81
3 1 0.81
3 2 1.51
23 0 0.81
23 1 0.81
23 2 1.56
33 0 0.81
33 1 0.81
33 2 1.46
53 0 0.81
53 1 0.76
53 2 1.56
13 0 0.81
13 1 0.76
13 2 1.66
4 0 0.76
4 1 0.76
4 2 1.61
64 0 0.66
64 1 0.71
64 2 1.66
24 0 0.81
24 1 0.81
24 2 1.56
34 0 0.76
34 1 1.11
34 2 1.51
44 0 0.81
44 1 0.76
44 2 1.61
54 0 0.66
54 1 0.71
54 2 1.56
14 0 0.76
14 1 0.81
14 2 1.51
5 0 0.76
5 1 0.76
5 2 1.56
25 0 0.56
25 1 0.66
25 2 1.51
65 0 0.66
65 1 1.01
65 2 1.51
35 0 0.81
35 1 0.81
35 2 1.56
55 0 0.66
55 1 0.71
55 2 1.51
45 0 0.76
45 1 0.81
45 2 1.51
15 0 0.76
15 1 0.81
15 2 1.46
26 0 0.76
26 1 0.76
26 2 1.56
66 0 0.66
66 1 1.01
66 2 1.46
36 0 0.71
36 1 0.66
36 2 1.46
46 0 0.71
46 1 1.11
46 2 1.66
56 0 0.81
56 1 1.11
56 2 1.66
6 0 0.76
6 1 1.11
6 2 1.61
16 0 0.66
16 1 0.71
16 2 1.51
37 0 0.61
37 1 1.01
37 2 1.56
67 0 0.76
67 1 1.11
67 2 1.51
47 0 0.66
47 1 0.71
47 2 1.56
57 0 0.76
57 1 0.81
57 2 1.51
7 0 0.81
7 1 0.76
7 2 1.46
27 0 0.81
27 1 0.76
27 2 1.71
17 0 0.76
17 1 1.11
17 2 1.56
58 0 0.66
58 1 0.71
58 2 1.46
38 0 0.56
38 1 0.71
38 2 1.56
48 0 0.76
48 1 0.76
48 2 1.56
68 0 0.76
68 1 1.11
68 2 1.66
8 0 0.71
8 1 0.66
8 2 1.56
28 0 0.76
28 1 1.11
28 2 1.61
18 0 0.76
18 1 0.76
18 2 1.61
59 0 0.81
59 1 0.81
59 2 1.51
49 0 0.76
49 1 0.81
49 2 1.51
39 0 0.76
39 1 0.81
39 2 1.51
69 0 0.66
69 1 0.71
69 2 1.56
9 0 0.76
9 1 0.76
9 2 1.51
19 0 0.76
19 1 0.81
19 2 1.46
29 0 0.81
29 1 0.81
29 2 1.56
