N = 200
alpha = 1.5
beta = 1000
selfLoops = False
100 0 0.66
100 1 0.71
100 2 1.61
200 0 0.76
200 1 0.76
200 2 1.61
0 0 0.66
0 1 1.01
0 2 1.71
400 0 0.66
400 1 0.71
400 2 1.71
300 0 0.71
300 1 0.66
300 2 1.76
101 0 0.81
101 1 0.81
101 2 1.66
201 0 0.76
201 1 1.11
201 2 1.71
1 0 0.66
1 1 0.71
1 2 1.66
401 0 0.76
401 1 1.11
401 2 1.71
301 0 0.66
301 1 0.71
301 2 1.71
102 0 0.76
102 1 0.81
102 2 1.61
202 0 0.71
202 1 0.61
202 2 1.61
2 0 0.56
2 1 0.66
2 2 1.56
302 0 0.66
302 1 0.71
302 2 1.56
402 0 0.76
402 1 0.81
402 2 1.71
103 0 0.76
103 1 1.11
103 2 1.66
203 0 0.66
203 1 0.71
203 2 1.66
3 0 0.81
3 1 0.76
3 2 1.66
303 0 0.66
303 1 0.71
303 2 1.66
403 0 0.76
403 1 0.81
403 2 1.71
104 0 0.76
104 1 1.11
104 2 1.66
204 0 0.81
204 1 0.76
204 2 1.71
4 0 0.76
4 1 1.11
4 2 1.61
304 0 0.81
304 1 0.76
304 2 1.76
404 0 0.81
404 1 0.76
404 2 1.66
105 0 0.76
105 1 0.76
105 2 1.66
205 0 0.71
205 1 0.66
205 2 1.56
5 0 0.61
5 1 1.01
5 2 1.66
305 0 0.76
305 1 1.11
305 2 1.66
405 0 0.81
405 1 0.76
405 2 1.66
106 0 0.76
106 1 1.16
106 2 1.71
6 0 0.81
6 1 0.76
6 2 1.61
306 0 0.76
306 1 1.11
306 2 1.61
206 0 0.71
206 1 0.66
206 2 1.71
406 0 0.66
406 1 0.71
406 2 1.61
107 0 0.66
107 1 0.71
107 2 1.61
7 0 0.76
7 1 1.11
7 2 1.66
207 0 0.81
207 1 1.11
207 2 1.66
307 0 0.81
307 1 0.76
307 2 1.66
407 0 0.76
407 1 0.76
407 2 1.61
108 0 0.66
108 1 0.71
108 2 1.66
8 0 0.76
8 1 0.81
8 2 1.71
308 0 0.76
308 1 0.76
308 2 1.66
208 0 0.66
208 1 1.01
208 2 1.76
408 0 0.61
408 1 1.01
408 2 1.66
109 0 0.81
109 1 0.81
109 2 1.76
9 0 0.66
9 1 1.01
9 2 1.76
209 0 0.66
209 1 0.71
209 2 1.61
309 0 0.76
309 1 0.76
309 2 1.76
409 0 0.76
409 1 0.81
409 2 1.66
110 0 0.66
110 1 0.71
110 2 1.61
10 0 0.81
10 1 0.76
10 2 1.66
310 0 0.81
310 1 0.76
310 2 1.66
210 0 0.76
210 1 0.76
210 2 1.61
410 0 0.81
410 1 0.76
410 2 1.71
111 0 0.76
111 1 1.11
111 2 1.71
11 0 0.81
11 1 0.81
11 2 1.66
311 0 0.81
311 1 0.81
311 2 1.76
211 0 0.66
211 1 0.71
211 2 1.56
411 0 0.76
411 1 0.76
411 2 1.66
112 0 0.81
112 1 0.76
112 2 1.66
12 0 0.76
12 1 0.76
12 2 1.71
312 0 0.81
312 1 0.81
312 2 1.76
412 0 0.81
412 1 0.76
412 2 1.71
212 0 0.81
212 1 1.11
212 2 1.81
113 0 0.81
113 1 0.81
113 2 1.56
13 0 0.66
13 1 0.71
13 2 1.71
313 0 0.81
313 1 1.11
313 2 1.66
213 0 0.66
213 1 0.71
213 2 1.61
413 0 0.76
413 1 1.11
413 2 1.61
114 0 0.76
114 1 0.81
114 2 1.76
14 0 0.76
14 1 0.81
14 2 1.61
314 0 0.81
314 1 1.11
314 2 1.66
214 0 0.81
214 1 0.76
214 2 1.66
414 0 0.66
414 1 0.71
414 2 1.66
115 0 0.81
115 1 0.76
115 2 1.56
15 0 0.66
15 1 0.71
15 2 1.61
315 0 0.66
315 1 0.71
315 2 1.71
215 0 0.76
215 1 1.11
215 2 1.66
415 0 0.81
415 1 0.81
415 2 1.61
116 0 0.66
116 1 0.76
116 2 1.56
16 0 0.76
16 1 0.76
16 2 1.66
316 0 0.76
316 1 0.81
316 2 1.66
216 0 0.66
216 1 0.71
216 2 1.61
416 0 0.81
416 1 0.76
416 2 1.66
117 0 0.76
117 1 0.76
117 2 1.66
17 0 0.71
17 1 0.66
17 2 1.66
317 0 0.81
317 1 1.11
317 2 1.66
217 0 0.81
217 1 0.81
217 2 1.76
417 0 0.76
417 1 1.11
417 2 1.76
118 0 0.81
118 1 1.11
118 2 1.76
18 0 0.76
18 1 0.76
18 2 1.76
318 0 0.81
318 1 1.11
318 2 1.61
218 0 0.61
218 1 0.66
218 2 1.61
418 0 0.76
418 1 0.76
418 2 1.66
119 0 0.76
119 1 1.11
119 2 1.61
319 0 0.76
319 1 0.76
319 2 1.56
19 0 0.76
19 1 0.81
19 2 1.61
219 0 0.76
219 1 0.81
219 2 1.66
419 0 0.76
419 1 0.81
419 2 1.71
120 0 0.81
120 1 1.11
120 2 1.66
320 0 0.71
320 1 0.66
320 2 1.61
20 0 0.66
20 1 0.71
20 2 1.66
220 0 0.76
220 1 0.76
220 2 1.66
420 0 0.81
420 1 0.76
420 2 1.71
121 0 0.81
121 1 0.76
121 2 1.66
321 0 0.71
321 1 0.66
321 2 1.71
21 0 0.66
21 1 0.71
21 2 1.61
221 0 0.76
221 1 1.11
221 2 1.66
421 0 0.66
421 1 0.71
421 2 1.56
122 0 0.66
122 1 0.71
122 2 1.66
322 0 0.76
322 1 1.11
322 2 1.61
22 0 0.81
22 1 0.81
22 2 1.71
222 0 0.81
222 1 0.81
222 2 1.66
422 0 0.71
422 1 0.66
422 2 1.66
123 0 0.76
123 1 1.11
123 2 1.76
323 0 0.76
323 1 1.11
323 2 1.66
23 0 0.66
23 1 0.71
23 2 1.66
223 0 0.61
223 1 0.61
223 2 1.61
423 0 0.76
423 1 1.11
423 2 1.61
124 0 0.76
124 1 0.76
124 2 1.71
324 0 0.66
324 1 0.71
324 2 1.76
24 0 0.81
24 1 1.11
24 2 1.71
224 0 0.76
224 1 0.81
224 2 1.71
424 0 0.76
424 1 0.81
424 2 1.61
125 0 0.71
125 1 0.66
125 2 1.71
